,Avg. Weight (Kgs),Suitability,Category,Color,Finish,Sizes (mm),Qty. Per Box (Pcs),Coverage Area (Sq.mt),Variant_Application
352,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Grey'],['High Glossy'],['600 x 1200'],['2'],['1.44'],['Commercial_Tiles']
376,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Green'],['Glossy'],['600 x 1200'],['2'],['1.44'],['Commercial_Tiles']
377,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['White'],['Glossy                                                                                                                              Matt'],['600 x 1200'],['2'],['1.44'],['Commercial_Tiles']
385,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Blue'],['High Glossy'],['600 x 1200'],['2'],['1.44'],['Commercial_Tiles']
387,['14.5'],['Wall'],['Digital Wall Tiles'],"['Brown', 'Cream']",['Sugar'],['300 x 600'],['5'],['0.90'],['Commercial_Tiles']
395,['14.5'],['Wall'],['Digital Wall Tiles'],['White'],['Sugar'],['300 x 600'],['5'],['0.90'],['Commercial_Tiles']
402,['14.5'],['Wall'],['Digital Wall Tiles'],"['Blue', 'Cream']",['Sugar'],['300 x 600'],['5'],['0.90'],['Commercial_Tiles']
410,['14.5'],['Wall'],['Digital Wall Tiles'],['Black'],['Glossy'],['300 x 600'],['5'],['0.90'],['Bathroom_Tile']
412,['14.5'],['Wall'],['Digital Wall Tiles'],"['Black', 'White']",['Glossy'],['300 x 600'],['5'],['0.90'],['Bathroom_Tile']
413,['14.5'],['Wall'],['Digital Wall Tiles'],['Aqua'],['Glossy'],['300 x 600'],['5'],['0.90'],['Bathroom_Tile']
414,['14.5'],['Wall'],['Digital Wall Tiles'],"['Aqua', 'Brown']",['Glossy'],['300 x 600'],['5'],['0.90'],['Bathroom_Tile']
425,['14.5'],['Wall'],['Digital Wall Tiles'],"['Grey', 'White']",['Glossy'],['300 x 600'],['5'],['0.90'],['Bathroom_Tile']
464,['30'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Blue'],['Matt'],['600 x 600'],['4'],['1.44'],['Bathroom_Tile']
470,['12.5'],['Floor'],['Digital Floor Tiles'],['Black'],['Matt'],['300 x 300'],['9'],['0.81'],['Bathroom_Tile']
475,['12.5'],['Floor'],['Digital Floor Tiles'],['Green'],['Matt'],['300 x 300'],['9'],['0.81'],['Bathroom_Tile']
481,['12.5'],['Floor'],['Digital Floor Tiles'],['White'],['Matt'],['300 x 300'],['9'],['0.81'],['Bathroom_Tile']
488,['30'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Brown'],['Glossy                                                                                                                             Matt'],['600 x 600'],['4'],['1.44'],['Bathroom_Tile']
492,"['30', '32']",['Floor and Wall'],['Glazed Vitrified Tiles'],['Beige'],['Matt'],"['600 x 600', '600 x 1200']","['4', '2']","['1.44', '1.44']",['Bathroom_Tile']
493,"['30', '32']",['Floor and Wall'],['Glazed Vitrified Tiles'],['White'],['Matt'],"['600 x 600', '600 x 1200']","['4', '2']","['1.44', '1.44']",['Bathroom_Tile']
494,"['30', '32']",['Floor and Wall'],['Glazed Vitrified Tiles'],['Grey'],['Glossy'],"['600 x 600', '600 x 1200']","['4', '2']","['1.44', '1.44']",['Bathroom_Tile']
498,"['30', '32']",['Floor and Wall'],['Glazed Vitrified Tiles'],['Grey'],['Matt'],"['600 x 600', '600 x 1200']","['4', '2']","['1.44', '1.44']",['Bathroom_Tile']
501,['14.5'],['Wall'],['Digital Wall Tiles'],['Coffee'],['Matt'],['300 x 600'],['5'],['0.90'],['Bathroom_Tile']
506,['14.5'],['Wall'],['Digital Wall Tiles'],"['Brown', 'White']",['Matt'],['300 x 600'],['5'],['0.90'],['Bathroom_Tile']
515,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Beige'],['Carving'],['600 x 1200'],['2'],['1.44'],['Bathroom_Tile']
517,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Brown'],['Carving'],['600 x 1200'],['2'],['1.44'],['Bathroom_Tile']
518,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Grey'],['Carving'],['600 x 1200'],['2'],['1.44'],['Bathroom_Tile']
526,['30'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Black'],['Matt'],['600 x 600'],['4'],['1.44'],['Bathroom_Tile']
527,['30'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Wood'],['Wood - Punch Matt'],['600 x 600'],['4'],['1.44'],['Bathroom_Tile']
528,['30'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Wood'],['Matt'],['600 x 600'],['4'],['1.44'],['Bathroom_Tile']
529,"['32', '32']",['Floor and Wall'],['Glazed Vitrified Tiles'],['Grey'],['Wood - Punch Matt'],"['600 x 1200', '198 x 1200']","['2', '6']","['1.44', '1.44']",['Bathroom_Tile']
530,"['32', '32']",['Floor and Wall'],['Glazed Vitrified Tiles'],['Brown'],['Wood - Punch Matt'],"['600 x 1200', '198 x 1200']","['2', '6']","['1.44', '1.44']",['Bathroom_Tile']
531,"['32', '32']",['Floor and Wall'],['Glazed Vitrified Tiles'],['Black'],['Wood - Punch Matt'],"['600 x 1200', '198 x 1200']","['2', '6']","['1.44', '1.44']",['Bathroom_Tile']
532,"['32', '32']",['Floor and Wall'],['Glazed Vitrified Tiles'],['Cream'],['Wood - Punch Matt'],"['600 x 1200', '198 x 1200']","['2', '6']","['1.44', '1.44']",['Bathroom_Tile']
533,['30'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Blue'],['Glossy                                                                                                                             Matt'],['600 x 600'],['4'],['1.44'],['Bathroom_Tile']
536,['30'],['Floor and Wall'],['Glazed Vitrified Tiles'],['White'],['Glossy'],['600 x 600'],['4'],['1.44'],['Bathroom_Tile']
538,['30'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Cream'],['Glossy'],['600 x 600'],['4'],['1.44'],['Bathroom_Tile']
539,['14.5'],['Wall'],['Digital Wall Tiles'],['Aqua'],['Sugar'],['300 x 600'],['5'],['0.90'],['Bathroom_Tile']
546,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Brown'],['High Glossy'],['600 x 1200'],['2'],['1.44'],['Bathroom_Tile']
547,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Cream'],['High Glossy'],['600 x 1200'],['2'],['1.44'],['Bathroom_Tile']
548,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Grey'],['High Glossy'],['600 x 1200'],['2'],['1.44'],['Bathroom_Tile']
572,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Green'],['Glossy'],['600 x 1200'],['2'],['1.44'],['Bathroom_Tile']
573,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['White'],['Glossy                                                                                                                              Matt'],['600 x 1200'],['2'],['1.44'],['Bathroom_Tile']
581,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Blue'],['High Glossy'],['600 x 1200'],['2'],['1.44'],['Bathroom_Tile']
583,['14.5'],['Wall'],['Digital Wall Tiles'],"['Brown', 'Cream']",['Sugar'],['300 x 600'],['5'],['0.90'],['Bathroom_Tile']
591,['14.5'],['Wall'],['Digital Wall Tiles'],['White'],['Sugar'],['300 x 600'],['5'],['0.90'],['Bathroom_Tile']
598,['14.5'],['Wall'],['Digital Wall Tiles'],"['Blue', 'Cream']",['Sugar'],['300 x 600'],['5'],['0.90'],['Bathroom_Tile']
601,['12.5'],['Floor'],['Digital Floor Tiles'],['Coffee'],['Matt'],['300 x 300'],['9'],['0.81'],['Bathroom_Tile']
608,['12.5'],['Floor'],['Digital Floor Tiles'],['Green'],['Sugar'],['300 x 300'],['9'],['0.81'],['Bathroom_Tile']
612,['12.5'],['Floor'],['Digital Floor Tiles'],['Grey'],['Sugar'],['300 x 300'],['9'],['0.81'],['Bathroom_Tile']
613,['12.5'],['Floor'],['Digital Floor Tiles'],['Blue'],['Sugar'],['300 x 300'],['9'],['0.81'],['Bathroom_Tile']
614,['12.5'],['Floor'],['Digital Floor Tiles'],['Cream'],['Sugar'],['300 x 300'],['9'],['0.81'],['Bathroom_Tile']
617,['30'],['Floor'],['Double Charged Vitrified Tiles'],['Black'],['Glossy'],['600 x 600'],['4'],['1.44'],['Kithen_Tiles']
622,"['30', '42']",['Floor'],['Double Charged Vitrified Tiles'],['Black'],['Glossy'],"['600 x 600', '800 x 800']","['4', '3']","['1.44', '1.92']",['Kithen_Tiles']
623,['42'],['Floor'],['Double Charged Vitrified Tiles'],['Grey'],['Glossy'],['800 x 800'],['3'],['1.92'],['Kithen_Tiles']
630,"['42', '43']",['Floor'],['Double Charged Vitrified Tiles'],['White'],['Glossy'],"['800 x 800', '800 x 1200']","['3', '2']","['1.92', '1.92']",['Kithen_Tiles']
633,"['30', '42']",['Floor'],['Double Charged Vitrified Tiles'],['Grey'],['Glossy'],"['600 x 600', '800 x 800']","['4', '3']","['1.44', '1.92']",['Kithen_Tiles']
635,['30'],['Floor'],['Double Charged Vitrified Tiles'],['White'],['Glossy'],['600 x 600'],['4'],['1.44'],['Kithen_Tiles']
643,['14.5'],['Wall'],['Digital Wall Tiles'],['Black'],['Glossy'],['300 x 600'],['5'],['0.90'],['Kithen_Tiles']
644,['42'],['Floor'],['Double Charged Vitrified Tiles'],['Cream'],['Glossy'],['800 x 800'],['3'],['1.92'],['Kithen_Tiles']
645,['14.5'],['Wall'],['Digital Wall Tiles'],"['Black', 'White']",['Glossy'],['300 x 600'],['5'],['0.90'],['Kithen_Tiles']
646,['14.5'],['Wall'],['Digital Wall Tiles'],['Aqua'],['Glossy'],['300 x 600'],['5'],['0.90'],['Kithen_Tiles']
647,['14.5'],['Wall'],['Digital Wall Tiles'],"['Aqua', 'Brown']",['Glossy'],['300 x 600'],['5'],['0.90'],['Kithen_Tiles']
658,['14.5'],['Wall'],['Digital Wall Tiles'],"['Grey', 'White']",['Glossy'],['300 x 600'],['5'],['0.90'],['Kithen_Tiles']
697,['30'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Blue'],['Matt'],['600 x 600'],['4'],['1.44'],['Kithen_Tiles']
703,['30'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Brown'],['Glossy                                                                                                                             Matt'],['600 x 600'],['4'],['1.44'],['Kithen_Tiles']
707,"['30', '32']",['Floor and Wall'],['Glazed Vitrified Tiles'],['Beige'],['Matt'],"['600 x 600', '600 x 1200']","['4', '2']","['1.44', '1.44']",['Kithen_Tiles']
708,"['30', '32']",['Floor and Wall'],['Glazed Vitrified Tiles'],['White'],['Matt'],"['600 x 600', '600 x 1200']","['4', '2']","['1.44', '1.44']",['Kithen_Tiles']
709,"['30', '32']",['Floor and Wall'],['Glazed Vitrified Tiles'],['Grey'],['Glossy'],"['600 x 600', '600 x 1200']","['4', '2']","['1.44', '1.44']",['Kithen_Tiles']
