,Avg. Weight (Kgs),Suitability,Category,Color,Finish,Sizes (mm),Qty. Per Box (Pcs),Coverage Area (Sq.mt),Variant_Application
86,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Grey'],['Glossy'],['600 x 1200'],['2'],['1.44'],['Living_Room']
87,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Cream'],['Glossy'],['600 x 1200'],['2'],['1.44'],['Living_Room']
88,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Brown'],['Glossy'],['600 x 1200'],['2'],['1.44'],['Living_Room']
89,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Cream'],['Glossy'],['600 x 1200'],['2'],['1.44'],['Living_Room']
90,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['White'],['Glossy'],['600 x 1200'],['2'],['1.44'],['Living_Room']
91,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Green'],['Glossy'],['600 x 1200'],['2'],['1.44'],['Living_Room']
92,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['White'],['Glossy                                                                                                                              Matt'],['600 x 1200'],['2'],['1.44'],['Living_Room']
93,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Black'],['High Glossy'],['600 x 1200'],['2'],['1.44'],['Living_Room']
94,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Black'],['High Glossy'],['600 x 1200'],['2'],['1.44'],['Living_Room']
95,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Black'],['High Glossy'],['600 x 1200'],['2'],['1.44'],['Living_Room']
96,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Cream'],['Carving'],['600 x 1200'],['2'],['1.44'],['Living_Room']
97,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['White'],['Carving'],['600 x 1200'],['2'],['1.44'],['Living_Room']
98,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Cream'],['Carving'],['600 x 1200'],['2'],['1.44'],['Living_Room']
99,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['White'],['Glossy'],['600 x 1200'],['2'],['1.44'],['Living_Room']
100,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Blue'],['High Glossy'],['600 x 1200'],['2'],['1.44'],['Living_Room']
101,['30'],['Floor'],['Full Body Vitrified Tiles'],['Grey'],['Matt'],['600 x 600'],['3'],['1.07'],['OutDoor_Tiles']
102,"['30', '42', '43']",['Floor'],['Double Charged Vitrified Tiles'],['Cream'],['Glossy'],"['600 x 600', '800 x 800', '']","['4', '3', '2']","['1.44', '1.92', '1.92']",['OutDoor_Tiles']
103,"['30', '42', '43']",['Floor'],['Double Charged Vitrified Tiles'],['White'],['Glossy'],"['600 x 600', '800 x 800', '']","['4', '3', '2']","['1.44', '1.92', '1.92']",['OutDoor_Tiles']
104,['30'],['Floor'],['Double Charged Vitrified Tiles'],['Black'],['Glossy'],['600 x 600'],['4'],['1.44'],['OutDoor_Tiles']
105,['30'],['Floor'],['Double Charged Vitrified Tiles'],['Brown'],['Glossy'],['600 x 600'],['4'],['1.44'],['OutDoor_Tiles']
106,['30'],['Floor'],['Double Charged Vitrified Tiles'],['Brown'],['Glossy'],['600 x 600'],['4'],['1.44'],['OutDoor_Tiles']
107,['30'],['Floor'],['Double Charged Vitrified Tiles'],['Grey'],['Glossy'],['600 x 600'],['4'],['1.44'],['OutDoor_Tiles']
108,['30'],['Floor'],['Double Charged Vitrified Tiles'],['Grey'],['Glossy'],['600 x 600'],['4'],['1.44'],['OutDoor_Tiles']
109,"['30', '42']",['Floor'],['Double Charged Vitrified Tiles'],['Black'],['Glossy'],"['600 x 600', '800 x 800']","['4', '3']","['1.44', '1.92']",['OutDoor_Tiles']
110,['42'],['Floor'],['Double Charged Vitrified Tiles'],['Grey'],['Glossy'],['800 x 800'],['3'],['1.92'],['OutDoor_Tiles']
111,['30'],['Floor'],['Double Charged Vitrified Tiles'],['Brown'],['Glossy'],['600 x 600'],['4'],['1.44'],['OutDoor_Tiles']
112,"['30', '42', '43']",['Floor'],['Double Charged Vitrified Tiles'],['White'],['Glossy'],"['600 x 600', '800 x 800', '']","['4', '3', '2']","['1.44', '1.92', '1.92']",['OutDoor_Tiles']
113,['42'],['Floor'],['Double Charged Vitrified Tiles'],['Black'],['Glossy'],['800 x 800'],['3'],['1.92'],['OutDoor_Tiles']
114,['42'],['Floor'],['Double Charged Vitrified Tiles'],['Black'],['Glossy'],['800 x 800'],['3'],['1.92'],['OutDoor_Tiles']
115,"['30', '42', '43']",['Floor'],['Double Charged Vitrified Tiles'],['White'],['Glossy'],"['600 x 600', '800 x 800', '']","['4', '3', '2']","['1.44', '1.92', '1.92']",['OutDoor_Tiles']
116,"['30', '42', '43']",['Floor'],['Double Charged Vitrified Tiles'],['Cream'],['Glossy'],"['600 x 600', '800 x 800', '']","['4', '3', '2']","['1.44', '1.92', '1.92']",['OutDoor_Tiles']
117,"['42', '43']",['Floor'],['Double Charged Vitrified Tiles'],['White'],['Glossy'],"['800 x 800', '800 x 1200']","['3', '2']","['1.92', '1.92']",['OutDoor_Tiles']
118,"['30', '42', '43']",['Floor'],['Double Charged Vitrified Tiles'],['Cream'],['Glossy'],"['600 x 600', '800 x 800', '']","['4', '3', '2']","['1.44', '1.92', '1.92']",['OutDoor_Tiles']
119,['42'],['Floor'],['Double Charged Vitrified Tiles'],['White'],['Glossy'],['800 x 800'],['3'],['1.92'],['OutDoor_Tiles']
120,"['30', '42']",['Floor'],['Double Charged Vitrified Tiles'],['Grey'],['Glossy'],"['600 x 600', '800 x 800']","['4', '3']","['1.44', '1.92']",['OutDoor_Tiles']
121,['42'],['Floor'],['Double Charged Vitrified Tiles'],['White'],['Glossy'],['800 x 800'],['3'],['1.92'],['OutDoor_Tiles']
122,['30'],['Floor'],['Double Charged Vitrified Tiles'],['White'],['Glossy'],['600 x 600'],['4'],['1.44'],['OutDoor_Tiles']
123,['42'],['Floor'],['Double Charged Vitrified Tiles'],['Cream'],['Glossy'],['800 x 800'],['3'],['1.92'],['OutDoor_Tiles']
124,['30'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Cream'],['Matt'],['600 x 600'],['4'],['1.44'],['OutDoor_Tiles']
125,['30'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Brown'],['Matt'],['600 x 600'],['4'],['1.44'],['OutDoor_Tiles']
126,['30'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Blue'],['Matt'],['600 x 600'],['4'],['1.44'],['OutDoor_Tiles']
127,['30'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Grey'],['Matt'],['600 x 600'],['4'],['1.44'],['OutDoor_Tiles']
128,['30'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Grey'],['Glossy                                                                                                                             Matt'],['600 x 600'],['4'],['1.44'],['OutDoor_Tiles']
129,['30'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Grey'],['Glossy                                                                                                                             Matt'],['600 x 600'],['4'],['1.44'],['OutDoor_Tiles']
130,['30'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Cream'],['Matt'],['600 x 600'],['4'],['1.44'],['OutDoor_Tiles']
131,['30'],['Floor and Wall'],['Glazed Vitrified Tiles'],['White'],['Matt'],['600 x 600'],['4'],['1.44'],['OutDoor_Tiles']
132,['30'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Brown'],['Glossy                                                                                                                             Matt'],['600 x 600'],['4'],['1.44'],['OutDoor_Tiles']
133,['30'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Grey'],['Matt'],['600 x 600'],['4'],['1.44'],['OutDoor_Tiles']
134,['30'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Brown'],['Matt'],['600 x 600'],['4'],['1.44'],['OutDoor_Tiles']
135,"['30', '32']",['Floor and Wall'],['Glazed Vitrified Tiles'],['Brown'],['Matt'],"['600 x 600', '600 x 1200']","['4', '2']","['1.44', '1.44']",['OutDoor_Tiles']
